Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2014M07,Површина ( во m2 ),12 Нестанбени згради,61467
2014M07,Површина ( во m2 ),121 Хотели и слични згради,8376
2014M07,Површина ( во m2 ),122 Деловни згради,115
2014M07,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,2649
2014M07,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,12
2014M07,Површина ( во m2 ),125 Индустриски згради и складишта,46045
2014M07,Површина ( во m2 ),127 Други нестанбени згради,4270
2014M08,Површина ( во m2 ),11 Станови во станбени објекти (згради),15327
2014M08,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,7185
2014M08,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,8142
2014M08,Површина ( во m2 ),12 Нестанбени згради,8009
2014M08,Површина ( во m2 ),122 Деловни згради,990
2014M08,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,519
2014M08,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,21
2014M08,Површина ( во m2 ),125 Индустриски згради и складишта,5802
2014M08,Површина ( во m2 ),127 Други нестанбени згради,677
2014M09,Површина ( во m2 ),11 Станови во станбени објекти (згради),38500
2014M09,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,16247
2014M09,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,22253
2014M09,Површина ( во m2 ),12 Нестанбени згради,29139
2014M09,Површина ( во m2 ),121 Хотели и слични згради,3110
2014M09,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,2742
2014M09,Површина ( во m2 ),125 Индустриски згради и складишта,23131
2014M09,Површина ( во m2 ),127 Други нестанбени згради,156
2014M10,Површина ( во m2 ),11 Станови во станбени објекти (згради),39498
2014M10,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,14222
2014M10,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,25276
2014M10,Површина ( во m2 ),12 Нестанбени згради,48070
2014M10,Површина ( во m2 ),121 Хотели и слични згради,836
2014M10,Површина ( во m2 ),122 Деловни згради,717
2014M10,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,3394
2014M10,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,4619
2014M10,Површина ( во m2 ),125 Индустриски згради и складишта,12949
2014M10,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",22926
2014M10,Површина ( во m2 ),127 Други нестанбени згради,2629
2014M11,Површина ( во m2 ),11 Станови во станбени објекти (згради),35324
2014M11,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,15941
2014M11,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,19383
2014M11,Површина ( во m2 ),12 Нестанбени згради,55259
2014M11,Површина ( во m2 ),122 Деловни згради,17934
2014M11,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,1745
2014M11,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,19
2014M11,Површина ( во m2 ),125 Индустриски згради и складишта,22280
2014M11,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",9110
2014M11,Површина ( во m2 ),127 Други нестанбени згради,4171
2014М12,Површина ( во m2 ),11 Станови во станбени објекти (згради),64441
2014М12,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,19427
2014М12,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,45014
2014М12,Површина ( во m2 ),12 Нестанбени згради,34438
2014М12,Површина ( во m2 ),122 Деловни згради,4364
2014М12,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,4856
2014М12,Површина ( во m2 ),125 Индустриски згради и складишта,22454
2014М12,Површина ( во m2 ),127 Други нестанбени згради,2764
2015M01,Површина ( во m2 ),11 Станови во станбени објекти (згради),35209
2015M01,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,14327
2015M01,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,20882
2015M01,Површина ( во m2 ),12 Нестанбени згради,14028
2015M01,Површина ( во m2 ),121 Хотели и слични згради,3472
2015M01,Површина ( во m2 ),122 Деловни згради,1322
2015M01,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,2648
2015M01,Површина ( во m2 ),125 Индустриски згради и складишта,6185
2015M01,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",141
2015M01,Површина ( во m2 ),127 Други нестанбени згради,260
2015М02,Површина ( во m2 ),11 Станови во станбени објекти (згради),28626
2015М02,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,12055
2015М02,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,16571
2015М02,Површина ( во m2 ),12 Нестанбени згради,24094
2015М02,Површина ( во m2 ),121 Хотели и слични згради,2570
2015М02,Површина ( во m2 ),122 Деловни згради,605
2015М02,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,2955
2015М02,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,30
2015М02,Површина ( во m2 ),125 Индустриски згради и складишта,6392
2015М02,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",10473
2015М02,Површина ( во m2 ),127 Други нестанбени згради,1069
2015M03,Површина ( во m2 ),11 Станови во станбени објекти (згради),34668
2015M03,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,10445
2015M03,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,24223
2015M03,Површина ( во m2 ),12 Нестанбени згради,19905
2015M03,Површина ( во m2 ),121 Хотели и слични згради,1250
2015M03,Површина ( во m2 ),122 Деловни згради,236
2015M03,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,2492
2015M03,Површина ( во m2 ),125 Индустриски згради и складишта,9378
2015M03,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",5193
2015M03,Површина ( во m2 ),127 Други нестанбени згради,1356
2015М04,Површина ( во m2 ),11 Станови во станбени објекти (згради),30939
2015М04,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,9869
2015М04,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,21070
2015М04,Површина ( во m2 ),12 Нестанбени згради,35312
2015М04,Површина ( во m2 ),121 Хотели и слични згради,2657
2015М04,Површина ( во m2 ),122 Деловни згради,1406
2015М04,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,4921
2015М04,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,137
2015М04,Површина ( во m2 ),125 Индустриски згради и складишта,21471
2015М04,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1171
2015М04,Површина ( во m2 ),127 Други нестанбени згради,3549
2015M05,Површина ( во m2 ),11 Станови во станбени објекти (згради),28748
2015M05,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,11993
2015M05,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,16755
2015M05,Површина ( во m2 ),12 Нестанбени згради,41273
2015M05,Површина ( во m2 ),122 Деловни згради,803
2015M05,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,1361
2015M05,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,68
2015M05,Површина ( во m2 ),125 Индустриски згради и складишта,31876
2015M05,Површина ( во m2 ),127 Други нестанбени згради,7165
2015М06,Површина ( во m2 ),11 Станови во станбени објекти (згради),20688
2015М06,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,11315
2015М06,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,9373
2015М06,Површина ( во m2 ),12 Нестанбени згради,53370
2015М06,Површина ( во m2 ),121 Хотели и слични згради,23283
2015М06,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,681
2015М06,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,140
2015М06,Површина ( во m2 ),125 Индустриски згради и складишта,28177
2015М06,Површина ( во m2 ),127 Други нестанбени згради,1089
2015М07,Површина ( во m2 ),11 Станови во станбени објекти (згради),72255
2015М07,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,17418
2015М07,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,54837
2015М07,Површина ( во m2 ),12 Нестанбени згради,59298
2015М07,Површина ( во m2 ),121 Хотели и слични згради,670
2015М07,Површина ( во m2 ),122 Деловни згради,1907
2015М07,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,4817
2015М07,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,1089
2015М07,Површина ( во m2 ),125 Индустриски згради и складишта,41674
2015М07,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",5189
2015М07,Површина ( во m2 ),127 Други нестанбени згради,3952
2015М08,Површина ( во m2 ),11 Станови во станбени објекти (згради),30233
2015М08,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,10061
2015М08,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,20172
2015М08,Површина ( во m2 ),12 Нестанбени згради,29545
2015М08,Површина ( во m2 ),121 Хотели и слични згради,1068
2015М08,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,3571
2015М08,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,59
2015М08,Површина ( во m2 ),125 Индустриски згради и складишта,20879
2015М08,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",466
2015М08,Површина ( во m2 ),127 Други нестанбени згради,3502
2015M09,Површина ( во m2 ),11 Станови во станбени објекти (згради),35189
2015M09,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,14893
2015M09,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,20296
2015M09,Површина ( во m2 ),12 Нестанбени згради,31618
2015M09,Површина ( во m2 ),121 Хотели и слични згради,418
2015M09,Површина ( во m2 ),122 Деловни згради,7641
2015M09,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,5211
2015M09,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,103
2015M09,Површина ( во m2 ),125 Индустриски згради и складишта,12982
2015M09,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3219
2015M09,Површина ( во m2 ),127 Други нестанбени згради,2044
2015М10,Површина ( во m2 ),11 Станови во станбени објекти (згради),69474
2015М10,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,16867
2015М10,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,52607
2015М10,Површина ( во m2 ),12 Нестанбени згради,15667
2015М10,Површина ( во m2 ),122 Деловни згради,624
2015М10,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,972
2015М10,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,1510
2015М10,Површина ( во m2 ),125 Индустриски згради и складишта,6812
2015М10,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",5072
2015М10,Површина ( во m2 ),127 Други нестанбени згради,677
2015М11,Површина ( во m2 ),11 Станови во станбени објекти (згради),43785
2015М11,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,18171
2015М11,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,25614
2015М11,Површина ( во m2 ),12 Нестанбени згради,75828
2015М11,Површина ( во m2 ),121 Хотели и слични згради,2681
2015М11,Површина ( во m2 ),122 Деловни згради,21732
2015М11,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,8464
2015М11,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,154
2015М11,Површина ( во m2 ),125 Индустриски згради и складишта,9108
2015М11,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",33228
2015М11,Површина ( во m2 ),127 Други нестанбени згради,461
2015М12,Површина ( во m2 ),11 Станови во станбени објекти (згради),65430
2015М12,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,17429
2015М12,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,48001
2015М12,Површина ( во m2 ),12 Нестанбени згради,68964
2015М12,Површина ( во m2 ),121 Хотели и слични згради,8391
2015М12,Површина ( во m2 ),122 Деловни згради,574
2015М12,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,8593
2015М12,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,832
2015М12,Површина ( во m2 ),125 Индустриски згради и складишта,27351
2015М12,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",21043
2015М12,Површина ( во m2 ),127 Други нестанбени згради,2180
2016М01,Површина ( во m2 ),11 Станови во станбени објекти (згради),26165
2016М01,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,10372
2016М01,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,15793
2016М01,Површина ( во m2 ),12 Нестанбени згради,49474
2016М01,Површина ( во m2 ),121 Хотели и слични згради,69
2016М01,Површина ( во m2 ),122 Деловни згради,4278
2016М01,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,4867
2016М01,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,20
2016М01,Површина ( во m2 ),125 Индустриски згради и складишта,38357
2016М01,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1786
2016М01,Површина ( во m2 ),127 Други нестанбени згради,97
2016M02,Површина ( во m2 ),11 Станови во станбени објекти (згради),66209
2016M02,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,16786
2016M02,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,49423
2016M02,Површина ( во m2 ),12 Нестанбени згради,75145
2016M02,Површина ( во m2 ),121 Хотели и слични згради,19546
2016M02,Површина ( во m2 ),122 Деловни згради,9808
2016M02,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,4213
2016M02,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,107
2016M02,Површина ( во m2 ),125 Индустриски згради и складишта,24559
2016M02,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",13462
2016M02,Површина ( во m2 ),127 Други нестанбени згради,3450
2016М03,Површина ( во m2 ),11 Станови во станбени објекти (згради),42545
2016М03,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,8715
2016М03,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,33830
2016М03,Површина ( во m2 ),12 Нестанбени згради,36943
2016М03,Површина ( во m2 ),121 Хотели и слични згради,2195
2016М03,Површина ( во m2 ),122 Деловни згради,75
2016М03,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,3328
2016М03,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,178
2016М03,Површина ( во m2 ),125 Индустриски згради и складишта,26480
2016М03,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",4340
2016М03,Површина ( во m2 ),127 Други нестанбени згради,347
2016M04,Површина ( во m2 ),11 Станови во станбени објекти (згради),36417
2016M04,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,12143
2016M04,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,24274
2016M04,Површина ( во m2 ),12 Нестанбени згради,56109
2016M04,Површина ( во m2 ),121 Хотели и слични згради,657
2016M04,Површина ( во m2 ),122 Деловни згради,5518
2016M04,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,1887
2016M04,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,91
2016M04,Површина ( во m2 ),125 Индустриски згради и складишта,44857
2016M04,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1877
2016M04,Површина ( во m2 ),127 Други нестанбени згради,1222
2016M05,Површина ( во m2 ),11 Станови во станбени објекти (згради),63183
2016M05,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,11865
2016M05,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,51318
2016M05,Површина ( во m2 ),12 Нестанбени згради,110907
2016M05,Површина ( во m2 ),121 Хотели и слични згради,41063
2016M05,Површина ( во m2 ),122 Деловни згради,513
2016M05,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,3993
2016M05,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,79
2016M05,Површина ( во m2 ),125 Индустриски згради и складишта,53994
2016M05,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",10641
2016M05,Површина ( во m2 ),127 Други нестанбени згради,624
2016M06,Површина ( во m2 ),11 Станови во станбени објекти (згради),70391
2016M06,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,12620
2016M06,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,50412
2016M06,Површина ( во m2 ),113 Станови на заедници,7359
2016M06,Површина ( во m2 ),12 Нестанбени згради,18752
2016M06,Површина ( во m2 ),122 Деловни згради,1423
2016M06,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,618
2016M06,Површина ( во m2 ),125 Индустриски згради и складишта,13873
2016M06,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2644
2016M06,Површина ( во m2 ),127 Други нестанбени згради,194
2016M07,Површина ( во m2 ),11 Станови во станбени објекти (згради),58253
2016M07,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,16801
2016M07,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,41452
2016M07,Површина ( во m2 ),12 Нестанбени згради,45482
2016M07,Површина ( во m2 ),121 Хотели и слични згради,3167
2016M07,Површина ( во m2 ),122 Деловни згради,3277
2016M07,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,17045
2016M07,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,4656
2016M07,Површина ( во m2 ),125 Индустриски згради и складишта,12746
2016M07,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3771
2016M07,Површина ( во m2 ),127 Други нестанбени згради,820
2016M08,Површина ( во m2 ),11 Станови во станбени објекти (згради),27426
2016M08,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,16767
2016M08,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,10659
2016M08,Површина ( во m2 ),12 Нестанбени згради,46551
2016M08,Површина ( во m2 ),121 Хотели и слични згради,1098
2016M08,Површина ( во m2 ),122 Деловни згради,1416
2016M08,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,4884
2016M08,Површина ( во m2 ),125 Индустриски згради и складишта,37995
2016M08,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",254
2016M08,Површина ( во m2 ),127 Други нестанбени згради,904
2016M09,Површина ( во m2 ),11 Станови во станбени објекти (згради),78143
2016M09,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,16180
2016M09,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,61963
2016M09,Површина ( во m2 ),12 Нестанбени згради,46059
2016M09,Површина ( во m2 ),121 Хотели и слични згради,1475
2016M09,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,16403
2016M09,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,103
2016M09,Површина ( во m2 ),125 Индустриски згради и складишта,21755
2016M09,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2964
2016M09,Површина ( во m2 ),127 Други нестанбени згради,3359
